CATReporterIMID,actionType,type,symbol,price,quantityside,eventTimestamp,firmDesignatedID,firmROEID,orderID,routedOrderID,parentOrderID,priorRoutedOrderID,orderType,parentOrderKeyDate,accountHolderType,orderKeyDate,leavesQty,senderType,negotiatedTradeFlag,initiator,affiliateFlag,cancelQty,custDspIntrFlag,solicitationFlag,routeRejectedFlag,electronicTimestamp,electronicDupFlag,tradingSession,destination,isoInd,receiverIMID,multiLegInd,priorRoutedOrderID,representativeInd,infoBarrierID,manualFlag,deptType,senderIMID,destinationType,dupROIDCond
CFSX,NEW,MEMR,XRAY,NULL,NULL,20230210T135604.593,NULL,20230210_O_31bbb732-465a-49da-9ea2-cc06ff27114e,2315230000000015,2315230000000015.4,NULL,2315230000000015.1,MKT,NULL,NULL,20230210T135548.327,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,False,NULL,NULL,ALL,134:CANT,NA,NULL,False,2315230000000015.1,NULL,NULL,False,NULL,285841:CFSX,F,False
CFSX,NEW,MEMR,XRAY,NULL,NULL,20230210T135641.813,NULL,20230210_O_2447f28a-f24e-445c-aeab-5c56425f7331,2315230000000015,2315230000000015.7,NULL,2315230000000015.1,MKT,NULL,NULL,20230210T135548.327,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,False,NULL,NULL,ALL,134:CANT,NA,NULL,False,2315230000000015.1,NULL,NULL,False,NULL,285841:CFSX,F,False
CFSX,NEW,MECO,B,45.24,NULL,20230210T134016.049,NULL,20230210_O_eeb2178c-d301-4fc7-b37d-fd25ab613f61,2315230000000007,NULL,2313230000000010,NULL,LMT,20230210T134016.483,NULL,20230210T134016.483,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ALL,NULL,NULL,NULL,False,NULL,NULL,FI,NULL,NULL,NULL,NULL,NULL
CFSX,NEW,MECO,BNY,NULL,NULL,20230210T133656.081,NULL,20230210_O_f30a8bfd-bc20-48f9-ac2b-1a2f939f76dc,2315230000000005,NULL,2313230000000008,NULL,MKT,20230210T133656.807,NULL,20230210T133656.807,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ALL,NULL,NULL,NULL,False,NULL,NULL,FI,NULL,NULL,NULL,NULL,NULL
CFSX,NEW,MECO,BNY,NULL,NULL,20230210T133947.817,NULL,20230210_O_7f1b53ae-860e-44d5-80aa-c26cf02b8013,2315230000000006,NULL,2313230000000008,NULL,MKT,20230210T133947.813,NULL,20230210T133947.813,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ALL,NULL,NULL,NULL,False,NULL,NULL,FI,NULL,NULL,NULL,NULL,NULL
CFSX,NEW,MECO,DOG,NULL,NULL,20230210T135201.407,NULL,20230210_O_f20dcdd1-0d8e-4713-8fbe-7ce36dbf4823,2315230000000009,NULL,2313230000000016,NULL,MKT,20230210T135201.407,NULL,20230210T135201.407,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ALL,NULL,NULL,NULL,False,NULL,NULL,FI,NULL,NULL,NULL,NULL,NULL
CFSX,NEW,MECO,DOG,NULL,NULL,20230210T135211.357,NULL,20230210_O_a307ad9f-7425-4a56-b9fd-cde235a6276e,2315230000000010,NULL,2313230000000016,NULL,MKT,20230210T135211.357,NULL,20230210T135211.357,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ALL,NULL,NULL,NULL,False,NULL,NULL,FI,NULL,NULL,NULL,NULL,NULL
CFSX,NEW,MECO,DOG,NULL,NULL,20230210T135220.049,NULL,20230210_O_56a40c15-6827-42e9-b713-2e75b53f5f37,2315230000000011,NULL,2313230000000016,NULL,MKT,20230210T135220.487,NULL,20230210T135220.487,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ALL,NULL,NULL,NULL,False,NULL,NULL,FI,NULL,NULL,NULL,NULL,NULL
CFSX,NEW,MECO,DOG,NULL,NULL,20230210T135230.453,NULL,20230210_O_40a65f12-eee8-45dc-9830-3df9e3312952,2315230000000012,NULL,2313230000000016,NULL,MKT,20230210T135230.453,NULL,20230210T135230.453,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ALL,NULL,NULL,NULL,False,NULL,NULL,FI,NULL,NULL,NULL,NULL,NULL
CFSX,NEW,MECO,DOG,NULL,NULL,20230210T135241.727,NULL,20230210_O_db1ef4ba-9209-4afc-b5ca-6afd3f7f123b,2315230000000013,NULL,2313230000000016,NULL,MKT,20230210T135241.727,NULL,20230210T135241.727,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ALL,NULL,NULL,NULL,False,NULL,NULL,FI,NULL,NULL,NULL,NULL,NULL
CFSX,NEW,MECO,DOG,NULL,NULL,20230210T135250.777,NULL,20230210_O_1f17ef80-7eef-4edf-b6c0-90fe7dd84e34,2315230000000014,NULL,2313230000000016,NULL,MKT,20230210T135250.777,NULL,20230210T135250.777,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ALL,NULL,NULL,NULL,False,NULL,NULL,FI,NULL,NULL,NULL,NULL,NULL
